@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
68,'2019/05/28 21:03:42:268',1,1.002814,0.155898,0.842919,0.454555,0.121996,-0.052442,0.070348,0.223775,0.204629,0.133475,0.22124,0.118962,0.201552,1,0,0,0
69,'2019/05/28 21:03:42:285',1,1.086468,-0.068282,0.563985,0.379433,0.248708,-0.019968,0.192916,0.24784,0.271105,0.184262,0.228832,0.192211,0.155287,1,0,0,0
70,'2019/05/28 21:03:42:301',1,1.098871,0.144384,0.553345,0.259932,0.19921,0.051091,0.1846,0.0407,0.073167,0.209183,0.355525,0.200822,0.099394,1,0,0,0
71,'2019/05/28 21:03:42:318',1,0.809275,0.056838,0.800467,0.485496,0.348011,0.21956,0.176116,-0.003132,0.197074,0.278041,0.283793,0.182201,0.14422,1,0,0,0
72,'2019/05/28 21:03:42:335',1,0.959742,0.134516,0.696433,0.157182,0.172737,0.123193,0.21568,0.262236,0.270874,0.173473,0.276684,0.236228,0.126541,1,0,0,0
73,'2019/05/28 21:03:42:352',1,0.737165,-0.207085,0.534125,0.183437,0.164622,0.028799,0.149003,0.249621,0.228309,0.268836,0.342521,0.277272,0.247231,1,0,0,0
74,'2019/05/28 21:03:42:367',1,0.823566,-0.01447,0.699081,0.400157,0.224972,0.010924,0.168781,0.169351,0.220452,0.400076,0.380475,0.244869,0.209578,1,0,0,0
75,'2019/05/28 21:03:42:385',1,1.063175,0.165765,0.728967,0.242665,0.287449,-0.003197,0.107451,0.244486,0.198271,0.156378,0.267314,0.138522,0.199987,1,0,0,0
76,'2019/05/28 21:03:42:401',1,1.031996,0.276296,0.536783,0.305039,0.277445,0.013993,-0.027146,0.103583,0.223621,0.204042,0.442395,0.249916,0.070029,1,0,0,0
77,'2019/05/28 21:03:42:418',1,0.768333,-0.131493,0.636328,0.409673,0.455568,0.181745,0.245815,0.313348,0.173015,0.203045,0.260765,0.062713,0.098837,1,0,0,0
